realizado: 2024-06-18T18:29:35.651Z
Accelerometer Data:
Index X Y Z
1 0.190185546875 0.63330078125 0.78515625
2 -0.2370605319738388 -0.762451171875 1.7722169160842896
3 -0.1875 -0.582275390625 1.404052734375
4 0.013671875 0.35302734375 0.705078125
5 -0.09716796875 0.4199218451976776 -0.013671875
6 -0.14404296875 -0.556640625 0.414794921875
7 -0.1083984449505806 -0.671630859375 1.508056640625
8 -0.18505859375 0.3896484375 0.101318359375
9 -0.173583984375 0.296875 -0.039306640625
10 -0.08056640625 -0.99169921875 1.90283203125
Gyroscope Data:
Index X Y Z
1 0.0861319974064827 0.06169738993048668 0.14844025671482086
2 -5.0958380699157715 -0.26633724570274353 -0.27488934993743896
3 3.378084897994995 -0.2474004179239273 -0.4355469346046448
4 1.5570955276489258 0.2070833146572113 -0.16371189057826996
5 0.252287358045578 0.6401867866516113 -0.04581489413976669
6 -5.781839370727539 0.06291911751031876 0.694553792476654
7 3.1758882999420166 -0.8845328688621521 -0.827722430229187
8 2.7171285152435303 -0.4605923891067505 -0.13744467496871948
9 -3.5460727214813232 -0.8576548099517822 0.4948008358478546
10 -2.797152042388916 -1.0971139669418335 0.1661553531885147
